"","link","author","Auteur","source"
"168","https://catalogue.bnf.fr/ark:/12148/cb31365917p","Sieyès","Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte","bnf"
"169","https://catalogue.bnf.fr/ark:/12148/cb31365933x","Sieyès","Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte","bnf"
"170","https://catalogue.bnf.fr/ark:/12148/cb36307960r","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","selected"
"171","https://catalogue.bnf.fr/ark:/12148/cb37241478s","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","selected"
"172","https://catalogue.bnf.fr/ark:/12148/cb30248614t","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","selected"
"173","https://catalogue.bnf.fr/ark:/12148/cb37243585t","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","selected"
"174","https://catalogue.bnf.fr/ark:/12148/cb37244463g","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","selected"
"175","https://catalogue.bnf.fr/ark:/12148/cb37243779f","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","selected"
"176","https://catalogue.bnf.fr/ark:/12148/cb372433184","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","selected"
"177","https://catalogue.bnf.fr/ark:/12148/cb37241024r","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","selected"
"178","https://catalogue.bnf.fr/ark:/12148/cb37242960b","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","selected"
"179","https://catalogue.bnf.fr/ark:/12148/cb37241474d","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","selected"
"180","https://catalogue.bnf.fr/ark:/12148/cb37243131s","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","selected"
"181","https://catalogue.bnf.fr/ark:/12148/cb372436822","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","selected"
"182","https://catalogue.bnf.fr/ark:/12148/cb372436675","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","selected"
"183","https://catalogue.bnf.fr/ark:/12148/cb37243335q","Clavière","Clavière, Étienne (1735-1793). Auteur du texte","selected"
"184","https://catalogue.bnf.fr/ark:/12148/cb30263653x","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","selected"
